budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,release_year,return
0.0,28489,Il giustiziere sfida la città,0.855651,1975-01-01,0.0,Syndicate Sadists,5.8,6.0,,"['Action', 'Crime', 'Foreign', 'Thriller']",Medusa Produzione,,,1975,0.0
0.0,105859,L'uomo della strada fa giustizia,0.458266,1975-08-05,0.0,Manhunt in the City,6.0,1.0,,,,,,1975,0.0
0.0,3701,Milano Rovente,1.065237,1973-02-21,0.0,Gang War in Milan,5.3,4.0,,"['Action', 'Crime', 'Foreign', 'Thriller']",Telemondial,,,1973,0.0
0.0,28488,Il coltello di ghiaccio,1.086643,1972-08-24,0.0,Knife of Ice,5.9,7.0,,"['Foreign', 'Horror', 'Mystery']",Munidal Film,,,1972,0.0
0.0,68146,Il paese del sesso selvaggio,4.578016,1972-08-07,0.0,Man from Deep River,5.7,17.0,,"['Adventure', 'Horror']",Roas Produzioni,,,1972,0.0
0.0,3699,Sette orchidee macchiate di rosso,0.642375,1972-06-30,0.0,Seven Blood-Stained Orchids,6.3,10.0,,"['Mystery', 'Crime', 'Horror']",Flora Film,Rialto Film Preben-Philipsen,National Cenematografica,1972,0.0
0.0,64630,Un posto ideale per uccidere,0.320724,1971-08-18,0.0,Oasis of Fear,5.6,8.0,,"['Crime', 'Thriller']",Les Films Concordia,Compagnia Cinematografica Champion,,1971,0.0
0.0,105079,A Quiet Place to Kill,0.34105,1970-02-20,0.0,A Quiet Place to Kill,5.7,3.0,,"['Drama', 'Thriller']",Société Nouvelle de Cinématographie,Tritone Cinematografica,Medusa Distribuzione,1970,0.0
0.0,64525,Orgasmo,2.262992,1969-02-07,0.0,Paranoia,6.2,6.0,,"['Thriller', 'Drama', 'Romance']",Société Nouvelle de Cinématographie,Titanus,,1969,0.0
0.0,145002,Una pistola per cento bare,0.727126,1968-08-24,0.0,A Gun for One Hundred Graves,5.8,4.0,,['Western'],,,,1968,0.0
0.0,148431,Giunse Ringo e... fu tempo di massacro,0.127557,1970-08-02,0.0,"Ringo, It's Massacre Time",0.0,0.0,,['Western'],La Volpe,,,1970,0.0
0.0,151423,Vamos a matar Sartana,0.000553,1971-09-06,0.0,Let's Go And Kill Sartana,0.0,0.0,,['Western'],,,,1971,0.0
0.0,260857,Due Magnum .38 per una città di carogne,0.5,1975-10-02,0.0,Due Magnum .38 per una città di carogne,0.0,0.0,,"['Action', 'Crime']",,,,1975,0.0
0.0,136215,Barbie and the Rockers: Out Of This World,0.44533,1987-01-01,0.0,Barbie and the Rockers: Out Of This World,3.6,5.0,,"['Animation', 'Music', 'TV Movie']",Saban Entertainment,Mattel,DiC Entertainment,1987,0.0
